hops,val
1,0.00199931
2,0.00399129
3,0.0059826
4,0.00797759
5,0.00997715
6,0.0119702
7,0.0139682
8,0.0159632
9,0.017961
10,0.0199559
11,0.0219508
12,0.0239447
13,0.0259431
14,0.0279365
15,0.0299352
16,0.0319337
17,0.0339315
18,0.0359271
19,0.037922
20,0.039916
21,0.0419086
22,0.0439042
23,0.0458997
24,0.0478953
25,0.0498948
26,0.0518898
27,0.0538822
28,0.0558813
29,0.0578795
30,0.0598767
31,0.0618736
32,0.0638724
33,0.06587
34,0.0678674
35,0.0698638
36,0.07186
37,0.0738552
38,0.07585
39,0.0778438
40,0.0798434
41,0.0818369
42,0.0838301
43,0.0858291
44,0.0878276
45,0.0898247
46,0.0918198
47,0.0938125
48,0.0958048
49,0.0977997
50,0.0997918
51,0.101783
52,0.103779
53,0.105775
54,0.107766
55,0.109757
56,0.111755
57,0.113746
58,0.115737
59,0.117734
60,0.11973
61,0.121722
62,0.123713
63,0.125703
64,0.127702
65,0.129701
66,0.131692
67,0.133683
68,0.135673
69,0.137669
70,0.139659
71,0.141649
72,0.143639
73,0.145628
74,0.147617
75,0.149607
76,0.151595
77,0.153584
78,0.155582
79,0.157571
80,0.15957
81,0.161558
82,0.163547
83,0.165543
84,0.167535
85,0.169524
86,0.171519
87,0.173518
88,0.175512
89,0.177501
90,0.179499
91,0.181491
92,0.183482
93,0.185473
94,0.187463
95,0.189461
96,0.191461
97,0.193458
98,0.195453
99,0.197446
100,0.199439
101,0.201432
102,0.203428
103,0.20542
104,0.207411
105,0.209401
106,0.211398
107,0.213388
108,0.215382
109,0.217375
110,0.219373
111,0.221369
112,0.223362
113,0.225358
114,0.22735
115,0.229341
116,0.231331
117,0.23332
118,0.235312
119,0.237303
120,0.2393
121,0.24129
122,0.243279
123,0.245268
124,0.247257
125,0.249255
126,0.251254
127,0.253251
128,0.255244
129,0.257232
130,0.25922
131,0.261208
132,0.263207
133,0.265203
134,0.267197
135,0.269185
136,0.271181
137,0.273177
138,0.275172
139,0.277167
140,0.279161
141,0.281153
142,0.283142
143,0.285137
144,0.287125
145,0.289113
146,0.291101
147,0.293093
148,0.295081
149,0.297069
150,0.299058
151,0.301046
152,0.303046
153,0.305045
154,0.307034
155,0.309024
156,0.311012
157,0.313001
158,0.31499
159,0.316978
160,0.318967
161,0.320955
162,0.322943
163,0.324931
164,0.326924
165,0.328918
166,0.330911
167,0.332899
168,0.334898
169,0.336889
170,0.338887
171,0.340879
172,0.342879
173,0.344872
174,0.346861
175,0.348858
176,0.350853
177,0.352843
178,0.354836
179,0.356826
180,0.358815
181,0.360803
182,0.362791
183,0.36479
184,0.366789
185,0.368783
186,0.370774
187,0.372765
188,0.374753
189,0.37674
190,0.378731
191,0.380728
192,0.382718
193,0.384706
194,0.386705
195,0.3887
196,0.390697
197,0.392694
198,0.394692
199,0.396688
200,0.398684
201,0.40068
202,0.402671
203,0.404664
204,0.406653
205,0.408642
206,0.41063
207,0.412626
208,0.414613
209,0.416604
210,0.418602
211,0.420601
212,0.422599
213,0.424588
214,0.426575
215,0.428563
216,0.43056
217,0.432553
218,0.434551
219,0.436545
220,0.438543
221,0.44053
222,0.442517
223,0.444511
224,0.446499
225,0.448486
226,0.450473
227,0.45246
228,0.454459
229,0.456454
230,0.458443
231,0.46043
232,0.462422
233,0.464414
234,0.466404
235,0.4684
236,0.47039
237,0.472387
238,0.474382
239,0.476381
240,0.47837
241,0.480365
242,0.482365
243,0.484359
244,0.486354
245,0.488352
246,0.490345
247,0.492342
248,0.494335
249,0.496326
250,0.498316
251,0.500306
252,0.502296
253,0.504291
254,0.50628
255,0.508268
256,0.510259
257,0.512248
258,0.514248
259,0.516236
260,0.518224
261,0.520211
262,0.52221
263,0.524197
264,0.526191
265,0.528178
266,0.530178
267,0.532175
268,0.534172
269,0.536169
270,0.538165
271,0.540164
272,0.54216
273,0.544158
274,0.546157
275,0.548155
276,0.550151
277,0.552149
278,0.554144
279,0.556144
280,0.55814
281,0.560135
282,0.562135
283,0.564133
284,0.566131
285,0.568128
286,0.570125
287,0.572118
288,0.574116
289,0.576115
290,0.578107
291,0.580102
292,0.582093
293,0.584085
294,0.58608
295,0.588071
296,0.59006
297,0.592053
298,0.594044
299,0.596042
300,0.598032
301,0.60002
302,0.602009
303,0.604002
304,0.606
305,0.607998
306,0.609991
307,0.611982
308,0.61397
309,0.615958
310,0.617946
311,0.619934
312,0.621922
313,0.623909
314,0.625897
315,0.627884
316,0.629883
317,0.631881
318,0.633869
319,0.635859
320,0.637847
321,0.639835
322,0.641831
323,0.643818
324,0.645805
325,0.647803
326,0.6498
327,0.651799
328,0.653795
329,0.655795
330,0.65779
331,0.659785
332,0.661781
333,0.663772
334,0.665762
335,0.667749
336,0.669736
337,0.671723
338,0.673715
339,0.675702
340,0.677702
341,0.679689
342,0.681676
343,0.683664
344,0.685651
345,0.687647
346,0.689635
347,0.691622
348,0.693608
349,0.695603
350,0.69759
351,0.699577
352,0.701564
353,0.70355
354,0.705546
355,0.707533
356,0.70952
357,0.711506
358,0.713495
359,0.715481
360,0.71747
361,0.719464
362,0.721457
363,0.723444
364,0.72543
365,0.727416
366,0.729402
367,0.731388
368,0.733375
369,0.735361
370,0.737347
371,0.739342
372,0.741328
373,0.743316
374,0.745303
375,0.747288
376,0.749283
377,0.751269
378,0.753254
379,0.75524
380,0.757235
381,0.75922
382,0.761213
383,0.763204
384,0.765192
385,0.76718
386,0.769175
387,0.771171
388,0.77316
389,0.775152
390,0.777137
391,0.779137
392,0.78113
393,0.783122
394,0.785109
395,0.787095
396,0.78908
397,0.791066
398,0.793057
399,0.795043
400,0.797028
401,0.799013
402,0.801013
403,0.803011
404,0.805004
405,0.806993
406,0.808993
407,0.810981
408,0.812966
409,0.814953
410,0.816948
411,0.818944
412,0.820943
413,0.822941
414,0.824932
415,0.826932
416,0.82893
417,0.830927
418,0.832923
419,0.834918
420,0.836913
421,0.838908
422,0.840902
423,0.842896
424,0.84489
425,0.846882
426,0.848874
427,0.850866
428,0.852858
429,0.854849
430,0.85684
431,0.85883
432,0.86082
433,0.862815
434,0.864805
435,0.866795
436,0.868784
437,0.870784
438,0.87278
439,0.874778
440,0.876775
441,0.878773
442,0.880768
443,0.882763
444,0.884758
445,0.886748
446,0.888747
447,0.890745
448,0.892741
449,0.894736
450,0.896729
451,0.89872
452,0.90071
453,0.9027
454,0.904689
455,0.906685
456,0.908678
457,0.910667
458,0.912656
459,0.914645
460,0.916633
461,0.918626
462,0.920614
463,0.922611
464,0.924607
465,0.926603
466,0.928603
467,0.930595
468,0.932586
469,0.934577
470,0.93657
471,0.938567
472,0.940556
473,0.942544
474,0.944532
475,0.94652
476,0.948509
477,0.950504
478,0.952496
479,0.954484
480,0.956472
481,0.958466
482,0.960453
483,0.962453
484,0.964451
485,0.966448
486,0.968445
487,0.970433
488,0.972419
489,0.974406
490,0.976393
491,0.978379
492,0.980365
493,0.982362
494,0.984348
495,0.986334
496,0.988319
497,0.990304
498,0.992289
499,0.994283
500,0.996279
